TIME,Value
2001M01,422.75
2001M02,365.77
2001M03,384.82
2001M04,303.95
2001M05,184.88
2001M06,129.43
2001M07,61.43
2001M08,63.2
2001M09,125.25
2001M10,145.16
2001M11,288.31
2001M12,405.17
2002M01,325.38
2002M02,306.75
2002M03,316.88
2002M04,271.77
2002M05,205.62
2002M06,128.85
2002M07,91.19
2002M08,43.89
2002M09,128.21
2002M10,240.68
2002M11,264.32
2002M12,350.96
2003M01,384.05
2003M02,348.97
2003M03,318.31
2003M04,247.21
2003M05,193.66
2003M06,81.82
2003M07,19.32
2003M08,38.9
2003M09,100.64
2003M10,264.4
2003M11,278.13
2003M12,369.45
2004M01,379.55
2004M02,360.39
2004M03,342.66
2004M04,264.78
2004M05,205.35
2004M06,68.25
2004M07,81.95
2004M08,31.66
2004M09,87.48
2004M10,257.08
2004M11,288.06
2004M12,345.75
2005M01,334.73
2005M02,356.06
2005M03,304.54
2005M04,278.67
2005M05,225
2005M06,71.15
2005M07,53.88
2005M08,39.93
2005M09,88
2005M10,163.22
2005M11,336.41
2005M12,364.78
2006M01,374.39
2006M02,355.74
2006M03,371.13
2006M04,289.87
2006M05,199.98
2006M06,71.68
2006M07,18
2006M08,53.81
2006M09,47.1
2006M10,171.99
2006M11,299.63
2006M12,342.63
2007M01,341.24
2007M02,321.45
2007M03,344.13
2007M04,204.59
2007M05,197.61
2007M06,113.51
2007M07,81.03
2007M08,72.97
2007M09,112.66
2007M10,188.27
2007M11,273.16
2007M12,350.89
2008M01,339.43
2008M02,335.61
2008M03,360.31
2008M04,296.91
2008M05,154.44
2008M06,127.2
2008M07,55.88
2008M08,32.53
2008M09,146.13
2008M10,262.48
2008M11,321.89
2008M12,409.04
2009M01,415.65
2009M02,354.98
2009M03,328.71
2009M04,267.85
2009M05,196.19
2009M06,95.97
2009M07,57.01
2009M08,45.22
2009M09,134.01
2009M10,191.45
2009M11,306.08
2009M12,434.61
2010M01,490.19
2010M02,425.42
2010M03,379.47
2010M04,286.84
2010M05,230.64
2010M06,77.18
2010M07,25.3
2010M08,84.2
2010M09,98.73
2010M10,226.64
2010M11,373.95
2010M12,545.74
2011M01,433.4
2011M02,292.22
2011M03,347.85
2011M04,200.09
2011M05,187.82
2011M06,150.17
2011M07,89.48
2011M08,100.71
2011M09,100.7
2011M10,157.06
2011M11,233.16
2011M12,373.32
2012M01,349.96
2012M02,315.94
2012M03,276.28
2012M04,328.79
2012M05,222.42
2012M06,134.14
2012M07,89.22
2012M08,35.44
2012M09,146.43
2012M10,272.92
2012M11,335.81
2012M12,381.06
2013M01,393.16
2013M02,370.95
2013M03,444.48
2013M04,319
2013M05,229.09
2013M06,116.86
2013M07,7.77
2013M08,26.25
2013M09,116.86
2013M10,169.99
2013M11,337.88
2013M12,336.65
2014M01,372.16
2014M02,331.51
2014M03,333.96
2014M04,244.35
2014M05,183.75
2014M06,93.24
2014M07,26.1
2014M08,94.06
2014M09,97.96
2014M10,184.23
2014M11,302.36
2014M12,387.74
2015M01,406.65
2015M02,378.65
2015M03,361.73
2015M04,287.79
2015M05,237.88
2015M06,123.43
2015M07,80.07
2015M08,88.46
2015M09,163.74
2015M10,217.34
2015M11,256.63
2015M12,280.22
2016M01,360.42
2016M02,374.32
2016M03,352.83
2016M04,325.37
2016M05,191.1
2016M06,85.49
2016M07,51.94
2016M08,28.54
2016M09,87.07
2016M10,216.68
2016M11,353.56
2016M12,330.12
2017M01,361.98
2017M02,314.36
2017M03,294.73
2017M04,275.55
2017M05,153.87
2017M06,72.91
2017M07,43.05
2017M08,66.33
2017M09,141.94
2017M10,180.45
2017M11,331.31
2017M12,386.66
2018M01,388.24
2018M02,397.87
2018M03,404.29
2018M04,276.36
2018M05,168.13
2018M06,50.88
2018M07,13.86
2018M08,62.77
2018M09,139.47
2018M10,234.27
2018M11,282.02
2018M12,301.55
2019M01,380.05
2019M02,283.82
2019M03,319.65
2019M04,272.74
2019M05,207.36
2019M06,133.78
2019M07,27.29
2019M08,30.61
2019M09,115.55
2019M10,254.46
2019M11,347.02
2019M12,356.4
